sex,age,height,weight
M,62,1.87402143,114.3841992
F,44,1.672676361,76.03133187
F,49,1.587969749,46.40308575
F,25,1.653450675,104.352744
M,65,1.744867313,76.83188962
F,57,1.604690297,79.07693192
F,56,1.600986341,98.52165387
F,67,1.602997283,52.79843849
F,16,1.657871584,88.47369516
M,37,1.914265629,132.3050755
F,36,1.62030267,62.74130221
F,38,1.725005566,70.56513115
M,68,1.868945258,102.8040192
M,37,1.885400264,101.3024623
F,66,1.609264703,78.98859874
M,51,1.780155871,120.4292745
F,25,1.750852278,64.61650951
F,44,1.73778329,77.17226898
M,53,1.707921855,88.19208463
F,53,1.723104639,80.39975883
F,63,1.684648173,111.262874
M,35,1.650740925,87.15145454
F,56,1.597742663,74.34044722
M,56,1.876310496,110.9377868
M,36,1.866919355,100.2697296
M,49,1.760938893,94.12858911
M,24,1.714371575,102.9101435
F,59,1.510395211,75.16652282
M,58,1.828266618,84.64406391
M,33,1.852183687,107.6912848
male,24,1.705207864,182.1357914
M,54,1.838639005,115.044482
F,68,1.787782859,82.50107758
M,47,1.911073679,101.6121989
M,36,1.773465012,74.44715327
M,68,1.684478364,37.4880411
F,70,1.626680116,67.46042059
F,46,1.768298102,94.05563133
F,59,1.523282757,57.76787249
F,49,1.531936903,46.04841207
M,41,1.703286101,75.49920568
F,50,1.729267521,98.17736501
M,65,1.738579387,73.30725687
M,33,1.84838092,132.7796795
M,36,1.661762652,93.37795646
F,32,1.559861106,48.52698787
F,40,1.670266148,87.30863995
F,31,1.723596489,112.6403615
female,65,1.609532282,145.4460356
M,53,1.811868497,75.53148584
F,59,1.674454881,117.4714608
F,37,1.671131769,65.31866806
M,28,1.693275063,88.98560379
M,58,1.793735346,81.62273334
M,32,1.843093929,101.0316406
M,30,1.721847147,77.4385189
M,21,1.750439618,79.48883988
male,33,1.708633628,126.5393992
F,35,1.578418428,73.85791956
F,16,1.574349896,94.88958648
F,20,1.659444065,41.44138697
F,36,1.643018926,70.16139945
M,54,1.693767363,85.51644125
M,68,1.796451365,86.19939224
F,30,1.687782653,82.48261713
M,27,1.584994891,71.16122295
M,21,1.804900168,75.6903783
F,50,1.539959349,84.25571579
male,57,1.770826084,121.2440825
M,28,1.822457624,113.6804128
F,44,1.671235831,61.69992811
M,44,1.86815447,91.48991216
F,67,1.639229475,68.47777787
M,29,1.710518367,88.21484897
M,27,1.597032166,46.16459627
M,35,1.864399283,101.0303567
F,44,1.598557519,55.42474406
M,14,1.730883558,87.43110434
F,41,1.686152598,103.2835566
F,70,1.719406595,110.5392254
F,28,1.599992256,83.72007804
F,18,1.674995456,88.18107743
M,25,1.875386613,118.5539934
M,65,1.712982884,55.52429561
M,56,1.742940349,86.22818995
F,59,1.595342411,82.86083828
F,16,1.585102965,68.92745107
M,69,1.742396536,85.27350818
F,35,1.685014557,65.94232954
F,31,1.432659311,70.92223149
F,20,1.691620872,73.57000526
F,26,1.778638355,28.24150717
M,31,1.760083255,55.93616832
M,14,1.74106092,80.4347186
F,42,1.760852397,106.9838414
F,32,1.740525229,74.00989153
F,64,1.604272249,68.0537918
F,19,1.566622913,65.18839224
F,70,1.546378835,84.19550392
M,43,1.763104334,99.23845884
F,66,1.585366059,74.79942213
M,36,1.82943574,92.6032033
M,48,1.875383981,95.7388979
F,51,1.615270894,63.11074606
F,22,1.673108825,74.82091776
F,35,1.652061622,70.10762325
F,23,1.698875142,109.9689758
M,37,1.658031801,80.13325775
M,66,1.84358729,102.5231382
male,50,1.793293902,239.7257511
M,21,1.729176423,93.86666866
M,58,1.802325406,107.7266831
F,25,1.712785532,89.05587577
M,29,1.681622053,99.82275935
M,55,1.851105132,112.026763
F,44,1.630617134,74.43490563
M,56,1.874933201,86.32481155
M,32,2.04885841,87.66167784
F,18,1.713880835,112.1580496
F,52,1.674289411,68.71071966
F,23,1.530112516,77.50528859
M,21,1.760458936,86.43316886
M,54,1.817211283,103.1393967
M,38,1.865744619,120.0424773
F,70,1.608128921,79.39782547
female,29,1.704572322,212.7608024
F,16,1.559543109,81.537889
male,37,1.731015517,247.3721271
F,58,1.733228491,82.62152989
M,16,1.722289129,96.40627111
M,26,1.834039965,99.41522251
M,33,1.657617036,50.7328954
M,45,1.894054423,81.26334027
M,15,1.677776948,83.1501164
F,57,1.603317238,84.49190522
F,54,1.555704312,47.37178102
M,28,1.744619688,78.56861829
M,33,1.722201512,93.7243347
F,33,1.630425247,75.31181624
M,17,1.774860245,96.25192076
M,65,1.856666172,101.5565528
M,53,1.600184648,49.60621989
F,34,1.638646513,57.84843489
F,70,1.558798039,37.41975925
female,70,1.673319067,192.3979236
female,52,1.634747251,120.4229783
M,42,1.757098575,39.49155866
M,36,1.669031423,64.21236811
F,17,1.591369562,82.82891303
M,39,1.743442331,82.46565113
M,31,1.688629058,75.29284677
F,45,1.56391147,79.76564828
M,14,1.646595505,84.81142697
M,66,1.928096448,84.65206324
F,15,1.649366736,106.6498597
M,58,1.843102905,80.32661323
F,53,1.73855155,53.67392806
F,22,1.739799274,109.2355791
M,69,1.859567859,108.3339814
F,18,1.668121691,63.23393721
M,29,1.766961753,91.668661
M,64,1.883002601,88.86175996
male,36,1.783450371,164.8664345
M,67,1.736164667,75.52895989
M,27,1.773673117,107.1367587
M,33,1.71033166,92.82423977
F,14,1.610169023,43.14936679
F,47,1.586723066,81.88802675
F,61,1.58237762,56.75906289
female,31,1.506512729,147.5747004
M,16,1.813664983,114.725007
F,18,1.546104623,62.78007797
F,51,1.706648199,65.93266498
F,53,1.699962745,72.08400421
M,50,1.809848102,109.0036993
M,56,1.904061367,121.3163037
M,44,1.716691023,85.52407971
M,16,1.719702153,88.75689882
F,17,1.67870352,56.91718981
M,34,1.797636367,89.19450609
F,19,1.590738312,85.75684162
M,39,1.801064591,111.6228852
F,24,1.6629866,74.22040721
F,35,1.671712042,99.47437485
F,62,1.745471407,105.5790367
M,22,1.861261239,103.9563131
M,48,1.924897946,98.95399402
F,61,1.617076618,77.37761344
M,23,1.634729625,90.25761539
M,60,1.632895353,61.81554308
M,39,1.764389092,64.33665311
M,47,1.797672773,63.1522942
M,69,1.875505571,113.0007495
M,62,1.666019121,89.48085548
F,61,1.730694415,108.5635511
F,63,1.633937444,103.7257629
M,46,1.765170388,67.14643014
F,60,1.569302168,81.08691891
M,41,1.910248488,126.5568831
M,53,1.832726452,116.75075
M,51,1.758633855,80.85449038
M,39,1.730823001,61.39362857
F,52,1.594998694,56.96957504
F,28,1.759889938,84.87506305
F,15,1.591584851,58.48337349
M,55,1.749441845,87.2783635
M,33,1.815193619,74.98778304
M,66,1.660567146,83.5726822
F,31,1.580705777,85.26572214
M,24,1.833960413,98.85060979
M,45,1.696313063,99.48696695
M,15,1.761133017,97.16830666
F,37,1.726255529,86.22519036
M,59,1.724661169,53.37347436
F,54,1.594844918,69.32970437
F,17,1.679531733,69.37757046
M,42,1.838290195,85.85322461
M,46,1.645046904,100.0550439
F,60,1.723183814,82.21358051
M,56,1.680213438,67.84629148
M,22,1.846260427,131.2041557
F,49,1.593192721,96.21268583
F,19,1.636650168,66.92324686
F,26,1.696330743,106.7961367
M,57,1.77498741,93.8307365
M,57,1.756816494,75.48497519
F,30,1.622736486,118.7680399
F,42,1.643905759,68.05115699
M,44,1.73200615,88.77610614
M,33,1.747212378,102.4821347
M,48,1.68512903,71.31033825
F,38,1.671886153,66.79678623
M,24,1.791675448,60.92025739
M,48,1.765340407,89.07190371
female,42,1.708480772,208.0874942
F,33,1.559864427,69.42779122
M,61,1.810599498,97.05292518
F,14,1.659643193,58.34790478
F,66,1.589045619,91.13429085
M,49,1.719003044,75.87107266
F,34,1.707161769,87.23363385
F,48,1.697710292,58.55621217
M,46,1.828924763,63.41623392
M,34,2.054139433,117.1422828
F,20,1.667740294,101.1836356
F,53,1.686901217,84.22267118
F,60,1.549303879,52.95035232
F,31,1.611965357,76.57238853
F,69,1.665395166,49.68145716
M,21,1.745615386,59.9336846
F,43,1.666602052,102.0935725
F,51,1.495103356,61.83765808
F,14,1.588265122,65.50150811
F,16,1.760812319,91.18529534
F,28,1.683871339,85.76308539
M,46,1.786908219,112.4965199
M,50,1.700978977,93.00150027
M,65,1.799344936,74.53444994
M,63,1.664241567,57.24337346
M,42,1.852501387,73.60783101
F,30,1.675073297,91.97661595
F,30,1.745656416,54.75406268
M,35,1.715566268,115.6016096
M,48,1.802649051,74.33632857
M,67,1.676692732,105.0117494
F,48,1.575009971,43.59968869
M,57,1.809444747,80.84547664
F,18,1.558140893,45.71405748
M,40,1.869289788,104.9331274
M,30,1.668372859,79.67979677
F,59,1.48830957,50.75682731
F,35,1.70979905,99.46134312
M,27,1.78714842,86.75457956
F,47,1.678448526,89.33416315
F,19,1.587731167,92.8580386
F,46,1.569915204,66.96122145
F,48,1.584432113,68.80161119
F,20,1.778226777,117.1643208
female,35,1.700108334,207.1422027
F,59,1.566203828,66.36645972
F,61,1.639144687,90.10354234
F,31,1.707814827,103.3026059
M,51,1.764021439,65.72000471
M,23,1.796272192,120.877656
F,24,1.621180157,87.62851707
M,22,1.756125557,98.15088427
F,46,1.61397793,50.12737489
M,32,1.785498427,137.0841332
M,63,1.841842404,91.8921567
M,49,1.767965587,79.90604759
female,63,1.552702741,158.3886517
F,40,1.648218536,86.84613865
M,55,1.830126559,82.19421579
female,47,1.598177945,198.4859343
F,69,1.494101002,70.26516774
F,38,1.54435329,67.22366517
M,38,1.559803463,68.7580754
M,37,1.838002121,87.26579886
F,67,1.768834076,83.22716196
F,64,1.689073459,92.82261978
F,68,1.65472314,87.18075298
M,65,1.751847644,54.79929295
M,62,1.807910843,102.4163094
F,70,1.5823724,69.52947751
M,44,1.772395008,103.5210683
M,62,1.682131861,66.22720234
M,64,1.581939219,62.05645102
F,15,1.559701888,52.61346498
M,32,1.722815357,78.27705428
F,62,1.696978006,56.91569175
M,51,1.768758787,141.9070448
M,15,1.736814546,122.6501094
F,41,1.712580681,73.54832034
M,68,1.76703009,62.29654195
M,38,1.735222652,108.4576421
F,48,1.613979935,84.37797839
M,18,1.730940467,51.59409758
M,33,1.818959228,93.86365469
F,46,1.661565373,57.34316492
F,24,1.755631706,123.0026853
F,65,1.602228075,75.64608489
M,64,1.707338312,95.23175623
female,45,1.668442627,180.9573872
F,60,1.675742589,87.69838634
F,51,1.727213052,105.7126661
F,57,1.704319543,79.22927095
F,54,1.765831795,72.02208643
F,49,1.679767683,84.80539907
M,15,1.789999092,114.6807474
F,21,1.612649705,56.4293889
M,40,1.782391401,80.78139754
F,65,1.703886852,78.68212807
male,16,1.889088344,290.8172231
F,31,1.594870791,53.23857624
M,40,1.908154075,118.2376419
M,61,1.805860177,87.60498812
F,44,1.65995892,77.84055277
F,24,1.792423627,49.6914866
M,60,1.6832198,58.58227892
M,60,1.762581328,61.46154738
male,32,1.731525322,233.3306064
F,62,1.592119824,90.38157733
M,38,1.749364203,108.3721598
F,34,1.553410127,77.24372766
F,22,1.563299052,59.08690387
M,57,1.809914,67.75979556
F,44,1.608537714,42.88217032
M,45,1.759689586,83.00793003
F,33,1.726530415,70.71822944
F,50,1.54140277,64.3992719
M,26,1.850026742,99.30136143
M,64,1.66017924,66.81080418
F,56,1.63910415,103.8646802
F,20,1.624194327,45.5446196
F,25,1.631124008,86.43571392
F,15,1.63644214,62.26841499
female,28,1.640147411,163.2018827
M,60,1.719801907,95.32960083
F,32,1.666243928,62.50869912
F,16,1.729521847,66.39013449
M,51,1.835995886,105.9787604
M,45,1.736439756,49.27893622
M,60,1.774232357,58.29231498
male,37,1.887491955,202.7967233
M,37,1.750883882,60.04728701
F,19,1.828085571,97.29759229
M,29,1.960029021,140.2025496
M,16,1.797804392,100.9844823
M,49,1.703486399,87.12965203
F,44,1.637743084,77.65368046
female,65,1.604410219,161.8414202
F,29,1.662962827,89.05340033
F,16,1.732072514,94.2969885
F,51,1.730210192,100.6678583
M,46,1.806383014,70.05076158
female,49,1.660982071,174.380364
F,67,1.619015669,51.86161608
F,20,1.700671605,88.0865545
F,25,1.587869114,65.48307396
F,38,1.732103956,72.05065103
M,60,1.844611856,72.87700098
M,41,1.804569089,57.30410059
M,37,1.712493354,75.90501126
F,46,1.524428977,67.53203607
M,18,1.754390568,89.80147769
F,56,1.717560072,87.50548226
M,22,1.800946356,69.09056781
F,68,1.61431609,51.18857486
M,38,1.724903792,71.01930682
F,60,1.62139226,74.82353539
F,38,1.652823276,90.54849099
female,56,1.624428316,127.9445543
M,69,1.807922686,75.84775076
F,21,1.626249649,66.66808341
M,30,1.779102885,106.9262244
M,66,1.883099867,101.0379787
M,68,1.761792508,67.01006094
F,46,1.691460046,98.80421908
F,32,1.501500997,47.74801309
M,52,1.867806639,89.01793724
female,33,1.709068714,153.274226
M,17,1.726533733,48.95774781
M,48,1.814831799,84.49921076
F,57,1.749822993,97.07752056
M,68,1.759959412,64.11404865
F,57,1.73096137,111.4920046
F,64,1.726521947,83.02638511
M,32,1.826480632,98.10968802
M,54,1.917012235,115.398709
F,61,1.607323643,64.98031328
F,22,1.649979294,91.3503318
M,30,1.770359829,103.1712415
F,41,1.667059684,89.30903971
M,38,1.926695729,100.6268674
M,21,1.855834558,125.0372499
M,58,1.645552801,49.3248028
F,37,1.657964177,77.6935193
F,54,1.626359987,54.77695964
M,19,1.786650225,88.14872916
M,41,1.667431942,76.26087446
F,26,1.631032152,70.33291004
F,17,1.680171384,77.4675648
male,27,1.659493216,116.4608716
M,40,1.731396957,60.60552239
F,52,1.585123871,76.85582384
M,56,1.886763274,165.232881
F,36,1.653883665,63.18598732
F,37,1.716357875,87.80755114
M,65,1.735658683,101.636222
F,42,1.71206207,111.9985019
M,33,1.730399636,68.45320196
F,17,1.784993388,112.0412114
M,43,1.864983282,86.64556629
F,65,1.496528642,58.59727016
M,64,1.89061194,104.4996689
M,16,1.83389122,107.2342176
male,43,1.679657296,219.0945288
F,38,1.571705775,47.57985586
M,32,1.710194562,100.6933614
F,42,1.618929939,62.44745672
F,20,1.635323844,56.15656667
M,49,1.724598468,87.43877796
F,48,1.729541634,86.94445836
M,17,1.726319196,66.72821978
F,63,1.590345046,70.30517723
male,61,1.77547489,226.2561543
F,51,1.833862248,97.35770909
F,26,1.641674965,99.76127675
M,29,1.586587808,52.99485859
M,63,1.794251658,98.82181866
female,66,1.713979768,172.0290721
female,62,1.717362269,168.1187219
M,54,1.743168168,107.8262429
F,61,1.694138382,80.15084019
M,53,1.841711548,116.2723217
M,51,1.607184233,68.73860582
F,39,1.862205882,76.9113008
M,68,1.787243225,107.0432183
F,36,1.762672762,74.52884823
F,52,1.68481503,71.27909201
F,43,1.641674904,90.92870783
F,30,1.713227422,101.9352325
F,46,1.748643143,91.29838394
male,57,1.760697306,201.3312918
F,14,1.725607282,74.01100163
M,28,1.749574563,95.74045397
M,37,1.759533672,85.54452471
M,56,1.826999572,117.6594143
M,64,1.74868124,102.0598517
M,35,1.907160795,79.41130717
M,16,1.666847821,67.69136651
F,42,1.549307549,72.96510493
M,43,1.917307312,130.1120922
M,23,1.714919665,92.00584365
F,20,1.766121852,101.8680746
M,31,1.785977183,117.2701068
female,57,1.713275184,119.6524606
M,60,1.729466508,67.71417597
male,16,1.908855504,194.1881934
F,27,1.721584515,86.44119203
M,68,1.821505937,111.3672125
F,48,1.65585421,92.50176468
F,20,1.638171928,88.40911173
M,62,1.739412148,115.3090798
F,42,1.648130459,89.09178072
M,70,1.736242998,76.44940247
F,57,1.603247274,67.83368319
M,24,1.729210842,93.62029685
F,39,1.71177007,72.96227468
F,25,1.601693712,65.60665773
F,60,1.623219424,75.6383467
M,40,1.857418971,88.49437343
F,58,1.573119029,79.81550417
F,49,1.659201392,89.26909854
male,61,1.733501234,214.6519411
M,31,1.824252111,79.70842357
F,56,1.635537,54.19307013
F,36,1.649958661,82.44813557
F,14,1.537846073,61.16046357
F,42,1.749816799,91.9555618
F,19,1.589829518,83.30935697
M,61,1.720346257,62.94955733
F,14,1.497857789,62.82809651
M,31,1.706285916,103.4557953
M,32,1.699653282,64.01544772
F,56,1.718001818,94.06555573
M,17,1.803287206,66.64843948
F,49,1.518088031,93.16348319
M,25,1.916660924,114.0578896
F,39,1.645583156,90.48672472
F,52,1.686853811,76.08446224
M,57,1.7850968,76.5535956
F,22,1.766001024,78.13344517
male,53,1.84031925,184.6933348
F,47,1.481209167,66.81873953
M,66,1.601681427,50.55804845
F,26,1.706012692,86.5039615
F,52,1.548683228,66.28790355
F,45,1.620185744,93.24086824
M,31,1.746461941,64.27249732
F,27,1.660562381,31.73515084
F,29,1.638584459,99.5505085
F,62,1.736450523,83.9545004
F,25,1.645386668,82.52702648
male,66,1.694641319,166.7942317
M,47,1.634435344,76.44324614
M,53,1.837536699,118.1213949
M,26,1.719086639,90.9872956
F,48,1.572719769,65.48071875
M,28,1.883176622,75.5042416
F,23,1.697133245,117.585081
F,15,1.603534581,59.93860522
F,65,1.771800523,97.31489118
F,53,1.656924884,106.1895098
M,14,1.633912137,67.12161434
F,70,1.644860748,86.44439928
M,43,1.699309949,92.52891631
M,29,1.713487637,69.74239387
F,57,1.577729164,66.04770561
F,46,1.65211084,66.66069618
F,14,1.610339912,72.4666393
M,37,1.923717583,117.4694644
M,30,1.697809364,96.8982313
